# PRD milestone manifest — generated by scripts/dev/prd-milestones.sh.
#
# Read by packages/server/src/prd-location-law.test.ts so that law can run
# offline (prd56 ruling 1). DO NOT HAND-EDIT: regenerate with this script
# before landing anything that opens or closes a prdNN milestone, and commit
# the result in the same change.
#
# generated-at: 2026-09-15T07:02:26Z
#
# <PRD number>	<open|closed>	<closed_at, or - if still open>
14	closed	2026-09-13T06:20:33Z
17	closed	2026-09-13T06:20:33Z
20	closed	2026-09-13T06:20:34Z
25	closed	2026-09-07T05:10:31Z
27	closed	2026-09-07T05:09:20Z
29	closed	2026-09-02T02:10:10Z
30	closed	2026-09-14T03:05:18Z
39	closed	2026-08-24T05:16:00Z
40	closed	2026-09-02T02:10:11Z
41	closed	2026-09-02T02:10:12Z
42	closed	2026-09-02T02:10:12Z
43	closed	2026-09-14T05:51:24Z
44	closed	2026-09-02T02:10:13Z
45	closed	2026-09-02T02:10:14Z
46	closed	2026-09-02T02:10:15Z
47	closed	2026-09-02T02:10:15Z
48	closed	2026-09-11T04:24:26Z
49	closed	2026-09-14T05:51:26Z
50	closed	2026-09-08T23:04:14Z
51	open	-
52	closed	2026-09-08T00:00:15Z
53	closed	2026-09-11T04:24:29Z
54	open	-
55	closed	2026-09-14T03:58:28Z
56	closed	2026-09-15T02:15:36Z
57	open	-
58	open	-
